id,name,host_id,host_name,host_since,host_listings_count,street,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,year,month
202837,"Waikiki Apartment, Ocean Front",7666,David,2009-02-10,1,"Honolulu, HI, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.285991178995218,-157.83966835597883,TRUE,Apartment,Entire home/apt,3,2018,1
16559965,Margarida on North Shore,7786,Lucas,2009-02-12,5,"Waialua, HI, United States",Waialua,HI,96791,Oahu,"Waialua, HI",US,United States,21.571285844818757,-158.11168771115422,TRUE,House,Entire home/apt,4,2018,1
17669517,Surf bus North Shore,7786,Lucas,2009-02-12,5,"Waialua, HI, United States",Waialua,HI,96791,Oahu,"Waialua, HI",US,United States,21.57090033813404,-158.1114703841938,TRUE,House,Entire home/apt,2,2018,1
16556879,Vintage bus hawaii,7786,Lucas,2009-02-12,5,"Waialua, HI, United States",Waialua,HI,96791,Oahu,"Waialua, HI",US,United States,21.572274626839874,-158.1127289762418,TRUE,House,Entire home/apt,4,2018,1
17078366,Surf Bus,7786,Lucas,2009-02-12,5,"Waialua, HI, United States",Waialua,HI,96791,Oahu,"Waialua, HI",US,United States,21.570996673515,-158.1118433556386,TRUE,House,Entire home/apt,2,2018,1
22033556,North Shore surf campers,7786,Lucas,2009-02-12,5,"Waialua, HI, United States",Waialua,HI,96791,Oahu,"Waialua, HI",US,United States,21.57064602717444,-158.112033707629,TRUE,House,Entire home/apt,4,2018,1
7663946,Hukilau Hale,8279,Sarada,2009-02-20,1,"Waialua, HI, United States",Waialua,HI,96791,Oahu,"Waialua, HI",US,United States,21.565167015214495,-158.10872501350644,TRUE,House,Entire home/apt,2,2018,1
17515756,Waikiki beach Royal Kuhio Modern w/ Free Parking,9187,Tuyet,2009-03-05,10,"Honolulu, HI, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.28151995670614,-157.82741439238154,TRUE,Apartment,Entire home/apt,6,2018,1
6189045,Mauka Studio with Pearl Harbor View,14040,Michael And Cristina,2009-04-19,2,"Honolulu, HI, United States",Honolulu,HI,96818,Oahu,"Honolulu, HI",US,United States,21.35523535086304,-157.92113253173648,TRUE,Guest suite,Entire home/apt,2,2018,1
3961051,Honu Studio with Pearl Harbor View,14040,Michael And Cristina,2009-04-19,2,"Honolulu, HI, United States",Honolulu,HI,96818,Oahu,"Honolulu, HI",US,United States,21.35324161879445,-157.92123301583808,TRUE,Guest suite,Entire home/apt,2,2018,1
21477788,Cute Simple Apt Downtown Chinatown,20489,Erica,2009-06-07,2,"Honolulu, HI, United States",Honolulu,HI,96817,Oahu,"Honolulu, HI",US,United States,21.3224554699623,-157.85493733320806,TRUE,Apartment,Entire home/apt,2,2018,1
9940,Pink Palace /Shark's Cove- Go green,32794,Vincent,2009-08-20,1,"Haleiwa, HI, United States",Haleiwa,HI,96712,Oahu,"Haleiwa, HI",US,United States,21.65230632762777,-158.0619053526444,TRUE,House,Entire home/apt,6,2018,1
5728871,Hale Malaekahana,47918,Marcia,2009-10-23,1,"Malaekahana Beach, Oahu, HI, HI, United States","Malaekahana Beach, Oahu, HI",HI,NA,Oahu,"Malaekahana Beach, Oahu, HI, HI",US,United States,21.666556330483314,-157.93608911418846,FALSE,House,Entire home/apt,6,2018,1
13434691,NEW! 2+ bed 2 houses from beach Waimanalo Hideaway,52931,Mark,2009-11-10,9,"Waimanalo, HI, United States",Waimanalo,HI,96795,Oahu,"Waimanalo, HI",US,United States,21.33922961094782,-157.7013256681122,TRUE,House,Entire home/apt,9,2018,1
17371788,"9 Bedroom Kailua Beach Pool Estate, Sleeps 22",52931,Mark,2009-11-10,9,"Kailua, HI, United States",Kailua,HI,96734,Oahu,"Kailua, HI",US,United States,21.410803840566082,-157.74723096875942,TRUE,House,Entire home/apt,16,2018,1
14339888,Jungle Waterfall Retreat,52931,Mark,2009-11-10,9,"Kailua, HI, United States",Kailua,HI,96734,Oahu,"Kailua, HI",US,United States,21.36486576440858,-157.76914343332163,TRUE,House,Entire home/apt,7,2018,1
