YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2022,15,1,19,0,0,0,0,1,0,7500
2022,15,1,21,0,0,0,0,1,0,28800
2022,15,0,20,0,0,0,1,0,0,73000
2022,15,1,55,0,0,0,1,0,1,170000
2022,15,1,41,0,0,0,0,0,0,2300
2022,15,0,22,0,0,0,0,1,0,29000
2022,15,0,24,0,0,0,0,1,0,24000
2022,15,0,22,0,0,0,0,1,0,25000
2022,15,1,93,0,1,0,0,0,0,31100
2022,15,1,18,0,0,0,0,1,0,12000
2022,15,0,21,0,0,0,0,1,0,68000
2022,15,0,46,0,0,1,0,0,0,370
2022,15,1,18,0,0,0,0,1,0,12000
2022,15,0,19,1,0,0,0,0,0,25030
2022,15,0,39,0,0,0,1,0,0,0
2022,15,0,57,0,0,0,0,1,0,9000
2022,15,1,71,0,0,0,0,1,0,6000
2022,15,1,36,0,0,0,0,0,0,5200
2022,15,1,79,0,0,0,0,1,1,6000
2022,15,0,22,0,0,0,0,1,0,6000
2022,15,0,24,0,0,1,0,0,0,0
2022,15,1,36,0,0,0,0,0,0,5200
2022,15,1,87,0,0,0,1,0,0,10800
2022,15,0,69,1,0,0,0,0,1,0
2022,15,0,18,0,0,0,1,0,0,12000
2022,15,0,41,0,0,0,1,0,1,6000
2022,15,0,25,0,0,0,0,1,0,39300
2022,15,1,24,0,0,1,0,0,0,35000
2022,15,1,73,0,0,0,0,1,1,0
2022,15,0,53,0,0,0,0,0,0,0
2022,15,0,67,0,1,0,0,0,0,15300
2022,15,0,59,0,0,0,0,0,0,9780
2022,15,1,87,0,0,0,1,0,0,0
2022,15,1,21,0,0,0,0,1,0,36400
2022,15,0,25,0,0,0,0,1,0,26200
2022,15,0,32,0,0,1,0,0,0,25000
2022,15,0,38,0,0,0,1,0,0,0
2022,15,0,44,0,0,0,1,0,0,9500
2022,15,0,93,0,1,0,0,0,0,5600
2022,15,0,19,0,0,0,0,1,0,33600
2022,15,0,35,0,0,0,1,0,0,0
2022,15,1,87,0,0,0,1,0,0,10800
2022,15,1,20,0,0,0,0,1,0,6700
2022,15,0,21,1,0,0,0,1,0,25000
2022,15,0,91,0,1,0,0,0,0,5600
2022,15,0,24,0,0,0,1,0,0,9100
2022,15,0,24,0,0,1,0,0,1,15000
2022,15,0,62,0,0,0,1,0,0,29300
2022,15,1,38,0,0,0,0,0,0,0
2022,15,0,97,0,1,0,0,0,0,12000
2022,15,0,28,0,0,0,0,0,0,6000
2022,15,0,31,0,0,0,1,0,0,0
2022,15,0,21,1,0,0,0,0,0,25000
2022,15,0,24,0,0,0,1,0,0,9100
2022,15,1,19,0,0,0,0,1,0,26520
2022,15,0,29,0,0,0,1,0,1,4200
2022,15,0,65,0,1,0,0,0,0,15300
2022,15,0,86,0,0,0,0,1,0,34800
2022,15,0,35,0,0,0,0,1,0,0
2022,15,1,20,1,0,0,0,0,0,7100
2022,15,1,18,0,0,0,0,1,0,12000
2022,15,1,92,0,0,0,0,1,0,12000
2022,15,0,28,1,0,0,0,0,0,0
2022,15,0,20,0,0,0,0,1,0,86000
2022,15,0,20,0,0,0,0,1,0,25200
2022,15,0,70,0,1,0,0,0,0,5600
2022,15,0,65,1,0,0,0,0,1,9000
2022,15,0,22,1,0,0,0,1,0,27300
2022,15,0,54,0,0,0,1,0,0,0
2022,15,0,21,0,0,0,0,1,0,23000
2022,15,0,23,0,0,0,0,1,0,30000
2022,15,0,87,0,0,0,0,1,0,12000
2022,15,0,28,0,0,0,0,0,0,6000
2022,15,0,43,0,0,0,1,0,0,0
2022,15,0,20,0,0,0,0,1,0,25000
2022,15,0,31,1,0,0,0,1,0,0
2022,15,1,42,0,0,0,1,0,0,0
2022,15,0,20,0,0,0,0,1,0,23000
2022,15,0,19,0,0,0,0,1,0,7000
2022,15,0,22,0,0,0,0,1,0,24000
2022,15,0,23,0,0,0,0,1,0,27000
2022,15,0,29,0,0,0,0,1,0,1600
2022,15,1,20,1,0,0,0,0,0,23500
2022,15,0,43,0,0,0,0,1,0,9600
2022,15,0,22,1,0,0,0,1,0,40000
