Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A14006_001,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"72061","Guaynabo Municipio, Puerto Rico","pr","050","00",,,,"72","061",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72061","Guaynabo Municipio",,,,89503,46048,69303,8945,12463,13852,20443,7707,3605,2288
"72063","Gurabo Municipio, Puerto Rico","pr","050","00",,,,"72","063",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72063","Gurabo Municipio",,,,40383,39532,29603,4639,7866,7082,7197,1870,615,334
"72065","Hatillo Municipio, Puerto Rico","pr","050","00",,,,"72","065",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72065","Hatillo Municipio",,,,38266,28001,29047,6239,6835,6845,6487,2141,182,318
"72067","Hormigueros Municipio, Puerto Rico","pr","050","00",,,,"72","067",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72067","Hormigueros Municipio",,,,15520,24862,12028,2262,3724,2395,2888,621,89,49
"72069","Humacao Municipio, Puerto Rico","pr","050","00",,,,"72","069",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72069","Humacao Municipio",,,,50441,26083,37857,7189,13236,7294,7055,2306,347,430
"72071","Isabela Municipio, Puerto Rico","pr","050","00",,,,"72","071",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72071","Isabela Municipio",,,,42878,20484,32225,7535,9721,6769,6382,1560,183,75
"72073","Jayuya Municipio, Puerto Rico","pr","050","00",,,,"72","073",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72073","Jayuya Municipio",,,,14653,18413,10491,2195,3664,2498,1628,470,36,0
"72075","Juana Díaz Municipio, Puerto Rico","pr","050","00",,,,"72","075",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72075","Juana Díaz Municipio",,,,46276,23823,33408,7702,9449,6948,6989,1976,192,152
"72077","Juncos Municipio, Puerto Rico","pr","050","00",,,,"72","077",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72077","Juncos Municipio",,,,36895,28196,26545,5482,7789,7241,4698,1148,48,139
"72079","Lajas Municipio, Puerto Rico","pr","050","00",,,,"72","079",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72079","Lajas Municipio",,,,23133,18920,17586,4848,5041,4012,2932,606,65,82
