Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A02002_001,SE_A02002_002,SE_A02002_003,SE_A02002_004,SE_A02002_005,SE_A02002_006,SE_A02002_007,SE_A02002_008,SE_A02002_009,SE_A02002_010,SE_A02002_011,SE_A02002_012,SE_A02002_013,SE_A02002_014,SE_A02002_015,SE_A02002_016,SE_A02002_017,SE_A02002_018,SE_A02002_019,SE_A02002_020,SE_A02002_021,SE_A02002_022,SE_A02002_023,SE_A02002_024,SE_A02002_025,SE_A02002_026,SE_A02002_027,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10003_001,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A18009_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"1500193150","South Kohala CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","93150",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500193150","South Kohala CCD",,,,19265,19265,9552,9713,19265,9552,817,512,560,453,460,834,1236,1185,1172,1463,650,210,9713,393,345,689,490,335,1198,1628,1086,1317,1422,680,130,19265,1210,857,1249,943,795,2032,2864,2271,2489,2885,1330,340,19265,6475,143,222,3647,1960,312,6506,2.71,9637,9009,628,92092,2106,14211,674,13537,10034,5639,2439,974,338,14211,674,3503,4395,3200,1465,636,338
"1500193240","South Kona CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","93240",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500193240","South Kona CCD",,,,10410,10410,5334,5076,10410,5334,356,143,323,140,372,601,609,691,735,1015,242,107,5076,113,225,325,152,378,411,571,689,775,958,369,110,10410,469,368,648,292,750,1012,1180,1380,1510,1973,611,217,10410,4101,120,5,2610,573,527,2474,3.03,5146,4858,288,90294,1604,7883,823,7060,5186,2490,987,398,96,7883,823,1874,2696,1503,589,302,96
"1500390270","Ewa CCD, Honolulu County, Hawaii","hi","060","00",,,,"15","003","90270",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500390270","Ewa CCD",,,,359031,359031,181590,177441,359031,181590,11733,12788,11914,6496,16571,28047,24558,20905,21577,15847,8206,2948,177441,10443,11169,11572,6176,13199,24971,23445,21458,21080,17572,10442,5914,359031,22176,23957,23486,12672,29770,53018,48003,42363,42657,33419,18648,8862,359031,49393,9909,804,168487,29764,6860,93814,3.2,173271,166280,6991,117896,2420,246970,16712,230258,164465,82077,26842,6060,2007,246970,16712,65793,82388,55235,20782,4053,2007
"1500390810","Honolulu CCD, Honolulu County, Hawaii","hi","060","00",,,,"15","003","90810",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500390810","Honolulu CCD",,,,401484,401484,200354,201130,401484,200354,8907,9823,10565,5666,15754,29348,28045,26629,25531,22284,12429,5373,201130,8946,8828,9485,5750,14898,26832,26384,25133,25873,24006,14914,10081,401484,17853,18651,20050,11416,30652,56180,54429,51762,51404,46290,27343,15454,401484,73302,7075,666,207032,31333,4834,77242,2.52,210280,199861,10419,92282,1828,302862,25036,277826,212387,131089,51381,19253,7593,302862,25036,65439,81298,79708,32128,11660,7593
"1500391710","Koolauloa CCD, Honolulu County, Hawaii","hi","060","00",,,,"15","003","91710",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500391710","Koolauloa CCD",,,,19374,19374,9748,9626,19374,9748,714,688,796,506,1260,1383,1198,1208,636,867,415,77,9626,648,621,744,334,1685,1214,1113,1060,788,1020,285,114,19374,1362,1309,1540,840,2945,2597,2311,2268,1424,1887,700,191,19374,6660,92,31,2057,3261,238,7035,3.45,9341,8731,610,100435,2160,11378,619,10759,7558,4037,1585,549,300,11378,619,3201,3521,2452,1036,249,300
"1500391800","Koolaupoko CCD, Honolulu County, Hawaii","hi","060","00",,,,"15","003","91800",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500391800","Koolaupoko CCD",,,,120037,120037,61241,58796,120037,61241,3637,3381,3598,1948,7252,8810,7887,6094,7273,6426,3391,1544,58796,3904,3334,3742,1408,3850,7036,7543,6442,7620,7231,4106,2580,120037,7541,6715,7340,3356,11102,15846,15430,12536,14893,13657,7497,4124,120037,36469,1119,365,31251,10713,1996,38124,3.06,54369,52177,2192,129285,2900,83983,3201,80782,60119,36715,15455,5605,2353,83983,3201,20663,23404,21260,9850,3252,2353
"1500393420","Wahiawa CCD, Honolulu County, Hawaii","hi","060","00",,,,"15","003","93420",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500393420","Wahiawa CCD",,,,41128,41128,22965,18163,41128,22965,2400,1226,1085,539,5941,4571,2204,1618,1404,1127,534,316,18163,1839,1556,1168,576,2264,3408,1903,1343,1643,1218,764,481,41128,4239,2782,2253,1115,8205,7979,4107,2961,3047,2345,1298,797,41128,12851,4281,190,10774,2731,1075,9226,3.03,12258,11635,623,83666,2648,22534,1429,21105,14195,5654,1465,204,36,22534,1429,6910,8541,4189,1261,168,36
"1500393510","Waialua CCD, Honolulu County, Hawaii","hi","060","00",,,,"15","003","93510",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500393510","Waialua CCD",,,,12733,12733,6435,6298,12733,6435,438,204,253,172,785,1285,914,649,801,628,244,62,6298,573,417,286,205,541,995,756,696,537,731,419,142,12733,1011,621,539,377,1326,2280,1670,1345,1338,1359,663,204,12733,4916,683,85,2416,852,344,3437,2.74,5724,5448,276,84159,2749,8859,431,8428,5960,2448,727,185,54,8859,431,2468,3512,1721,542,131,54
"1500393600","Waianae CCD, Honolulu County, Hawaii","hi","060","00",,,,"15","003","93600",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500393600","Waianae CCD",,,,49879,49879,25022,24857,49879,25022,2246,1994,2349,1286,2027,2990,3638,2509,2787,1907,1133,156,24857,1921,1991,2060,1402,1663,3405,3568,2432,2885,2347,982,201,49879,4167,3985,4409,2688,3690,6395,7206,4941,5672,4254,2115,357,49879,5186,1268,284,5189,21022,776,16154,3.65,20714,18497,2217,83927,1820,30940,2859,28081,14088,4880,1643,571,223,30940,2859,13993,9208,3237,1072,348,223
"1500590990","Kalawao CCD, Kalawao County, Hawaii","hi","060","00",,,,"15","005","90990",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500590990","Kalawao CCD",,,,43,43,29,14,43,29,0,0,0,0,0,8,15,2,1,1,0,2,14,0,0,0,0,0,0,2,0,4,0,6,2,43,0,0,0,0,0,8,17,2,5,1,6,4,43,11,0,5,14,8,0,5,1.23,30,30,0,86250,1300,43,11,32,21,14,7,0,0,43,11,11,7,7,7,0,0
"1500790180","Eleele-Kalaheo CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","90180",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500790180","Eleele-Kalaheo CCD",,,,8600,8600,4505,4095,8600,4505,258,207,414,172,431,513,502,562,476,667,243,60,4095,312,152,337,160,323,464,437,468,612,513,295,22,8600,570,359,751,332,754,977,939,1030,1088,1180,538,82,8600,2837,64,0,2024,622,60,2993,3,4249,4093,156,107694,1655,5834,300,5534,3834,2081,717,211,51,5834,300,1700,1753,1364,506,160,51
"1500790540","Hanalei CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","90540",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500790540","Hanalei CCD",,,,7650,7650,3853,3797,7650,3853,141,233,344,191,250,349,534,537,372,697,194,11,3797,100,216,183,109,148,310,606,556,562,789,165,53,7650,241,449,527,300,398,659,1140,1093,934,1486,359,64,7650,4743,60,0,834,553,230,1230,2.79,3729,3605,124,95395,1722,5735,469,5266,3872,2406,891,309,87,5735,469,1394,1466,1515,582,222,87
"1500791080","Kapaa CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","91080",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500791080","Kapaa CCD",,,,8335,8335,4072,4263,8335,4072,104,408,132,264,167,476,521,576,745,337,305,37,4263,125,178,166,79,267,546,633,589,524,673,317,166,8335,229,586,298,343,434,1022,1154,1165,1269,1010,622,203,8335,2588,52,4,3330,839,24,1498,3.14,4508,4442,66,82310,1967,6445,418,6027,3969,2163,678,218,126,6445,418,2058,1806,1485,460,92,126
"1500791260","Kaumakani-Hanapepe CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","91260",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500791260","Kaumakani-Hanapepe CCD",,,,3985,3985,2104,1881,3985,2104,61,62,96,180,175,268,326,158,353,173,165,87,1881,79,82,166,26,227,326,176,189,307,90,127,86,3985,140,144,262,206,402,594,502,347,660,263,292,173,3985,233,0,17,2573,311,2,849,3.57,2227,2098,129,88387,1092,2831,505,2326,1096,421,105,34,0,2831,505,1230,675,316,71,34,0
"1500791440","Kekaha-Waimea CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","91440",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500791440","Kekaha-Waimea CCD",,,,5622,5622,2769,2853,5622,2769,105,277,238,89,165,303,345,347,366,363,161,10,2853,101,123,304,80,188,362,239,525,293,305,221,112,5622,206,400,542,169,353,665,584,872,659,668,382,122,5622,833,0,18,1288,1157,39,2287,3.1,2771,2679,92,82599,1941,3952,560,3392,1994,731,190,30,0,3952,560,1398,1263,541,160,30,0
"1500791620","Koloa-Poipu CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","91620",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500791620","Koloa-Poipu CCD",,,,6685,6685,3217,3468,6685,3217,223,199,231,84,167,433,335,342,390,547,215,51,3468,368,120,201,184,122,448,279,399,498,491,223,135,6685,591,319,432,268,289,881,614,741,888,1038,438,186,6685,2325,40,20,1722,430,208,1940,2.87,3176,2893,283,97614,1637,4786,260,4526,3408,1564,549,143,46,4786,260,1118,1844,1015,406,97,46
"1500792160","Lihue CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","92160",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500792160","Lihue CCD",,,,6517,6517,3232,3285,6517,3232,282,184,232,79,255,178,581,331,466,340,223,81,3285,201,186,331,121,95,465,368,436,390,336,167,189,6517,483,370,563,200,350,643,949,767,856,676,390,270,6517,1019,188,15,2491,544,133,2127,2.95,3307,3263,44,70851,2072,4551,130,4421,3458,1692,469,98,53,4551,130,963,1766,1223,371,45,53
"1500792340","Niihau CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","92340",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500792340","Niihau CCD",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500792970","Puhi-Hanamaulu CCD, Kauai County, Hawaii","hi","060","00",,,,"15","007","92970",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500792970","Puhi-Hanamaulu CCD",,,,10407,10407,5201,5206,10407,5201,377,235,295,157,403,894,745,617,620,520,255,83,5206,104,244,403,134,499,679,738,533,597,533,483,259,10407,481,479,698,291,902,1573,1483,1150,1217,1053,738,342,10407,1433,21,8,5233,897,123,2692,3.58,5472,5265,207,99399,1762,7556,631,6925,4490,1787,567,229,136,7556,631,2435,2703,1220,338,93,136
